zip_code,branch_name,city,longitude,address,state,latitude,county,bank_name,ID
38834,CORINTH MAIN BRANCH,Corinth,-88.5204549870715,501 N Fillmore St,Mississippi,34.93511212334633,Alcorn,Trustmark Bank,10543
36024,ECLECTIC BRANCH,Eclectic,-86.03562303168495,15 Kowaliga Rd,Alabama,32.63617701485575,Elmore,Trustmark Bank,1140
36037,GREENVILLE MAIN BRANCH,Greenville,-86.620836028187,300 E Commerce St,Alabama,31.829298009085136,Butler,Trustmark Bank,11456
36078,TALLASSEE MAIN BRANCH,Tallassee,-85.89377700625629,304 Barnett Blvd,Alabama,32.536431989882345,Elmore,Trustmark Bank,1155
36067,PRATTVILLE MAIN OFFICE,Prattville,-86.47087598520838,148 E Main St,Alabama,32.45914401135367,Autauga,Trustmark Bank,11936
38843,FULTON BRANCH,Fulton,-88.40911829642543,102 S Cummings St,Mississippi,34.273586625890715,Itawamba,Trustmark Bank,15200
77024,HOUSTON ADMINISTRATIVE BRANCH,Houston,-95.5552030147776,10497 Town And Country Way,Texas,29.781009983169383,Harris,Trustmark Bank,15482
36426,NORTHSIDE BRANCH,Brewton,-87.06902804182332,1201 Douglas Ave,Alabama,31.126002017932947,Escambia,Trustmark Bank,180963
36732,THE COMMERICAL BANK OF DEMOPOLIS/BRANCH,Demopolis,-87.83912998057862,201 N Main Ave,Alabama,32.51760401414596,Marengo,Trustmark Bank,1822
35042,CENTREVILLE BRANCH,Centreville,-87.144344,125 Hazel Avenue,Alabama,32.946171,Bibb,Trustmark Bank,186286
36801,OPELIKA BRANCH,Opelika,-85.400151,Thomason Drive,Alabama,32.691071,Lee,Trustmark Bank,186290
36732,HIGHWAY 80 BRANCH,Demopolis,-87.81769502340708,1400 Us Highway 80 E,Alabama,32.50259898253837,Marengo,Trustmark Bank,194313
39638,GLOSTER BRANCH,Gloster,-91.01955748419158,162 E Main St,Mississippi,31.19744732121556,Amite,Trustmark Bank,206230
38701,DRIVE-IN BRANCH OFFICE,Greenville,-91.05976001874532,605 Main St,Mississippi,33.40848800419293,Washington,Trustmark Bank,206232
